"code_muni","year","soy","beef","coffee","cocoa","rubber","palm","soy_perc","beef_perc","coffee_perc","cocoa_perc","rubber_perc","palm_perc"
"1100015","2021",1072,473192,6180,59,0,0,0.000027386099500546,0.00210680232969617,0.00337041884816754,0.0000981994547433665,0,0
"1100023","2021",6979,509210,185,250,0,0,0.000178290660834245,0.00226716600091419,0.000100894415357766,0.00041609938450579,0,0
"1100031","2021",27705,124604,27,20,0,0,0.00070777228233454,0.000554776913999944,0.0000147251308900524,0.0000332879507604632,0,0
"1100049","2021",2160,437032,5530,260,0,0,0.0000551809467548315,0.00194580642900086,0.00301592495636998,0.000432743359886022,0,0
"1100056","2021",36430,82558,45,5,0,0,0.000930667541795607,0.000367574656239024,0.0000245418848167539,0.00000832198769011581,0,0
"1100064","2021",3050,267070,34,10,0,0,0.0000779175405565908,0.0011890811725303,0.000018542757417103,0.0000166439753802316,0,0
"1100072","2021",51250,308673,25,16,0,0,0.00130927014869681,0.00137431105241489,0.0000136343804537522,0.0000266303606083706,0,0
"1100080","2021",200,265041,57,0,0,0,0.00000510934692174366,0.0011800474147175,0.000031086387434555,0,0,0
"1100098","2021",1130,383370,1350,15,0,0,0.0000288678101078517,0.00170688601906968,0.000736256544502618,0.0000249659630703474,0,0
"1100106","2021",0,141386,60,5,0,0,0,0.000629495752646753,0.0000327225130890052,0.00000832198769011581,0,0
"1100114","2021",28,534672,166,1391,0,0,0.000000715308569044112,0.00238053097944029,0.0000905322862129145,0.00231517697539022,0,0
"1100122","2021",0,402959,183,184,0,0,0,0.00179410252069358,0.000099803664921466,0.000306249146996262,0,0
"1100130","2021",14209,416642,580,256,0,0,0.000362993552055278,0.00185502361884662,0.000316317626527051,0.000426085769733929,0,0
"1100148","2021",996,226852,6150,8,0,0,0.0000254445476702834,0.00101001775620939,0.00335405759162304,0.0000133151803041853,0,0
"1100155","2021",0,361116,213,1275,0,0,0,0.00160780408394597,0.000116164921465969,0.00212210686097953,0,0
"1100189","2021",2108,318608,54,4,0,0,0.0000538525165551782,0.00141854485422373,0.0000294502617801047,0.00000665759015209265,0,0
"1100205","2021",13100,1353947,3223,363,0,0,0.00033466222337421,0.00602820566257489,0.00175774432809773,0.000604176306302408,0,0
"1100254","2021",0,358271,278,73,0,0,0,0.0015951372327989,0.000151614310645724,0.000121501020275691,0,0
"1100262","2021",26410,123859,55,10,0,0,0.00067468926101625,0.000551459935404313,0.0000299956369982548,0.0000166439753802316,0,0
"1100288","2021",5000,238493,1333,61,0,0,0.000127733673043591,0.00106184721638622,0.000726985165794066,0.000101528249819413,0,0
"1100296","2021",4439,182047,455,44,0,0,0.000113401954928101,0.000810531546843983,0.00024814572425829,0.0000732334916730191,0,0
"1100304","2021",43000,131267,11,2,0,0,0.00109850958817489,0.00058444272390959,0.00000599912739965096,0.00000332879507604632,0,0
"1100320","2021",15000,262056,9864,4,0,0,0.000383201019130774,0.00116675723873366,0.00537958115183246,0.00000665759015209265,0,0
"1100338","2021",3200,807820,550,25,0,0,0.0000817495507478985,0.00359667335452662,0.000299956369982548,0.000041609938450579,0,0
"1100346","2021",600,268615,1180,63,0,0,0.000015328040765231,0.001195960007336,0.000643542757417103,0.000104857044895459,0,0
"1100379","2021",785,223815,4050,10,0,0,0.0000200541866678439,0.000996496059571903,0.00220876963350785,0.0000166439753802316,0,0
"1100403","2021",19096,351664,678,47,0,0,0.000487840444088085,0.00156572075282396,0.000369764397905759,0.0000782266842870886,0,0
"1100452","2021",220,539404,4700,1042,0,0,0.00000562028161391802,0.00240159935892287,0.00256326352530541,0.00173430223462013,0,0
"1100502","2021",1594,151819,2110,10,0,0,0.000040721494966297,0.000675946809946369,0.00115074171029668,0.0000166439753802316,0,0
"1100601","2021",0,281523,40,405,0,0,0,0.00125343055728553,0.0000218150087260035,0.00067408100289938,0,0
"1100700","2021",240,441603,739,113,0,0,0.00000613121630609239,0.00196615798492117,0.000403032286212914,0.000188076921796617,0,0
"1100809","2021",1200,286074,192,67,0,0,0.000030656081530462,0.00127369306680058,0.000104712041884817,0.000111514635047552,0,0
"1100908","2021",3861,113913,45,4,0,0,0.0000986359423242613,0.000507177158072578,0.0000245418848167539,0.00000665759015209265,0,0
"1100924","2021",37000,331334,48,2,0,0,0.000945229180522577,0.00147520508188547,0.0000261780104712042,0.00000332879507604632,0,0
"1100940","2021",19868,221345,200,12,0,0,0.000507562523206015,0.000985498828523302,0.000109075043630017,0.0000199727704562779,0,0
"1101005","2021",0,289137,210,508,0,0,0,0.0012873305237649,0.000114528795811518,0.000845513949315766,0,0
"1101104","2021",3370,96389,33,7,0,0,0.0000860924956313807,0.000429154697790926,0.0000179973821989529,0.0000116507827661621,0,0
"1101203","2021",0,133658,5700,30,0,0,0,0.000595088221657446,0.0031086387434555,0.0000499319261406949,0,0
"1101302","2021",0,127089,540,130,0,0,0,0.000565840929852483,0.000294502617801047,0.000216371679943011,0,0
"1101401","2021",0,325178,140,184,0,0,0,0.00144779659834896,0.0000763525305410122,0.000306249146996262,0,0
"1101435","2021",0,146152,334,349,0,0,0,0.000650715511018264,0.000182155322862129,0.000580874740770084,0,0
"1101450","2021",1570,179388,75,2,0,0,0.0000401083733356877,0.000798692827265753,0.0000409031413612565,0.00000332879507604632,0,0
"1101468","2021",44100,125967,4,0,0,0,0.00112661099624448,0.000560845426517856,0.00000218150087260035,0,0,0
"1101476","2021",50,79701,181,5,0,0,0.00000127733673043591,0.0003548543772488,0.0000987129144851658,0.00000832198769011581,0,0
"1101484","2021",1392,114002,213,72,0,0,0.0000355610545753359,0.000507573414575949,0.000116164921465969,0.000119836622737668,0,0
"1101492","2021",1800,460585,800,7,0,0,0.0000459841222956929,0.00205067192814568,0.00043630017452007,0.0000116507827661621,0,0
"1101500","2021",3337,225651,1137,29,0,0,0.0000852494533892929,0.00100467051957402,0.000620091623036649,0.0000482675286026717,0,0
"1101559","2021",0,103846,22,55,0,0,0,0.00046235564998907,0.0000119982547993019,0.0000915418645912739,0,0
"1101609","2021",833,272953,290,206,0,0,0.0000212804299290623,0.00121527417263512,0.000158158813263525,0.000342865892832771,0,0
"1101708","2021",0,176362,150,208,0,0,0,0.000785220106151151,0.0000818062827225131,0.000346194687908818,0,0
"1101757","2021",2077,159975,315,30,0,0,0.0000530605677823079,0.000712259934008065,0.000171793193717277,0.0000499319261406949,0,0
"1101807","2021",0,172414,200,325,0,0,0,0.00076764234575444,0.000109075043630017,0.000540929199857528,0,0
"1200013","2021",0,250589,500,0,48,0,0,0.00111570248228253,0.000272687609075044,0,0.000270001181255168,0
"1200054","2021",0,58266,45,0,0,0,0,0.000259418892420153,0.0000245418848167539,0,0,0
"1200104","2021",0,314001,120,0,64,0,0,0.00139803301477397,0.0000654450261780105,0,0.000360001575006891,0
"1200138","2021",0,309017,0,0,76,0,0,0.00137584265058522,0,0,0.000427501870320683,0
"1200179","2021",1155,212303,5,0,75,0,0.0000295064784730696,0.00094524094870895,0.00000272687609075044,0,0.0004218768457112,0
"1200203","2021",0,34319,0,0,0,145,0,0.000152799179091876,0,0,0,0.000733879947363093
"1200252","2021",70,158055,30,0,30,0,0.00000178827142261028,0.00070371147910389,0.0000163612565445026,0,0.00016875073828448,0
"1200302","2021",0,169600,30,0,0,0,0,0.000755113516535508,0.0000163612565445026,0,0,0
"1200328","2021",0,9596,0,0,0,0,0,0.0000427244652398274,0,0,0,0
"1200336","2021",0,17448,20,0,0,0,0,0.0000776840839416954,0.0000109075043630017,0,0,0
"1200344","2021",0,75736,100,0,0,0,0,0.000337200927407625,0.0000545375218150087,0,0,0
"1200351","2021",0,14947,0,0,0,0,0,0.0000665488309649542,0,0,0,0
"1200385","2021",3000,283313,45,0,140,0,0.0000766402038261549,0.00126140021055557,0.0000245418848167539,0,0.000787503445327573,0
"1200393","2021",0,15243,0,0,0,0,0,0.0000678667177626813,0,0,0,0
"1200401","2021",1360,532713,5,0,17,0,0.0000347435590678569,0.00237180888404587,0.00000272687609075044,0,0.0000956254183612053,0
"1200427","2021",0,20263,0,0,0,0,0,0.0000902173654808903,0,0,0,0
"1200435","2021",0,12261,0,0,0,0,0,0.0000545898987396336,0,0,0,0
"1200450","2021",400,361801,50,0,250,0,0.0000102186938434873,0.00161085392332584,0.0000272687609075044,0,0.00140625615237067,0
"1200500","2021",0,385448,25,0,76,0,0,0.00171613794057534,0.0000136343804537522,0,0.000427501870320683,0
"1200609","2021",0,171897,0,0,0,0,0,0.00076534049617868,0,0,0,0
"1200708","2021",200,300689,60,0,25,0,0.00000510934692174366,0.00133876372743836,0.0000327225130890052,0,0.000140625615237067,0
"1200807","2021",0,339778,20,0,0,0,0,0.00151280047418279,0.0000109075043630017,0,0,0
"1300029","2021",0,504,0,0,0,0,0,0.00000224396941234608,0,0,0,0
"1300060","2021",0,1225,0,0,0,0,0,0.00000545409232167451,0,0,0,0
"1300086","2021",0,452,0,0,0,0,0,0.00000201244875869133,0,0,0,0
"1300102","2021",0,1000,0,0,0,0,0,0.00000445232026259144,0,0,0,0
"1300144","2021",0,168000,177,40,0,0,0,0.000747989804115362,0.0000965314136125654,0.0000665759015209265,0,0
"1300201","2021",0,90,0,0,0,0,0,0.000000400708823633229,0,0,0,0
"1300300","2021",0,50013,6,40,0,0,0,0.000222673893292986,0.00000327225130890052,0.0000665759015209265,0,0
"1300409","2021",0,29,0,0,0,0,0,0.000000129117287615152,0,0,0,0
"1300508","2021",0,29589,0,0,0,0,0,0.000131739704249818,0,0,0,0
"1300607","2021",0,565,0,0,0,270,0,0.00000251556094836416,0,0,0,0.00136653507440024
"1300631","2021",0,1126,0,0,0,0,0,0.00000501331261567796,0,0,0,0
"1300680","2021",0,13076,0,0,0,0,0,0.0000582185397536456,0,0,0,0
"1300706","2021",0,235000,4,240,0,0,0,0.00104629526170899,0.00000218150087260035,0.000399455409125559,0,0
"1300805","2021",0,2974,0,145,0,0,0,0.0000132412004609469,0,0.000241337643013358,0,0
"1300839","2021",0,1876,0,0,0,0,0,0.00000835255281262154,0,0,0,0
"1300904","2021",0,26047,0,0,5,0,0,0.000115969585879719,0,0,0.0000281251230474133,0
"1301001","2021",0,4677,0,0,0,0,0,0.0000208235018681402,0,0,0,0
"1301100","2021",0,17100,0,0,0,0,0,0.0000761346764903136,0,0,0,0
"1301159","2021",0,46994,0,0,0,0,0,0.000209232338420222,0,0,0,0
