"CD_MUN","freq"
"3205002",9
"3205309",1
"3300258",1
"3301108",1
"3301702",1
"3302601",1
"3303401",1
"3303500",1
"3303807",9
"3304300",1
"3304524",1
"3304557",2
"3305802",1
"3501103",5
"3502507",2
"3510005",1
"3511904",1
"3513207",1
"3518206",1
"3518602",1
"3519808",2
"3524204",1
"3525805",1
"3529302",1
"3534708",1
"3536406",1
"3540200",1
"3540705",2
"3543402",15
"3545100",1
"3548500",1
"3550308",3
"3555406",3
"3556800",2
"3557105",1
"4102901",2
"4104451",1
"4104659",3
"4104808",2
"4105409",3
"4106456",20
"4106704",17
"4106803",3
"4107900",2
"4108304",1
"4108502",3
"4109401",1
"4109500",3
"4110052",2
"4110201",21
"4112009",2
"4113254",4
"4114401",6
"4116950",4
"4117057",3
"4117206",1
"4117602",9
"4117701",4
"4119301",6
"4119400",5
"4119509",1
"4119905",1
"4121752",6
"4123501",2
"4125100",6
"4127502",5
"4128203",2
"4128625",1
"4200408",1
"4200804",4
"4201307",2
"4202537",1
"4202875",1
"4203154",2
"4203253",2
"4204202",1
"4205407",1
"4206603",1
"4208104",5
"4209300",16
"4210605",1
"4212056",4
"4213609",3
"4215505",3
"4215554",2
"4300059",1
"4300109",4
"4300554",5
"4300802",1
"4301602",2
"4302303",1
"4304622",3
"4305132",4
"4306205",17
"4306700",1
"4307104",3
"4307401",2
"4309704",258
"4309753",1
"4310751",5
"4311007",6
"4311130",6
"4311205",2
"4312104",2
"4312617",4
"4313102",11
"4313391",1
"4314027",2
"4314407",1
"4314472",1
"4315321",1
"4315602",2
"4316709",1
"4317400",4
"4317905",2
"4318002",1
"4318101",6
"4319125",3
"4319406",2
"4321477",1
"4322400",5
"5000252",1
"5002209",3
"5003207",7
"5003702",2
"5004304",2
"5004502",1
"5004700",1
"5005681",1
"5006606",1
"5006903",4
"5007901",1
"5008305",6
"5100201",1
"5100250",2
"5100300",3
"5100805",5
"5101001",2
"5101407",12
"5101803",1
"5101902",9
"5102504",1
"5102686",2
"5102793",1
"5103254",48
"5103304",1
"5103353",2
"5103403",2
"5103858",5
"5103908",3
"5104104",4
"5105101",2
"5105150",4
"5105580",5
"5105606",1
"5106109",1
"5106158",16
"5106232",1
"5106240",4
"5106265",4
"5106299",7
"5106422",3
"5106505",5
"5106752",1
"5106851",1
"5107008",1
"5107065",3
"5107180",4
"5107206",17
"5107800",2
"5107909",6
"5107925",2
"5108055",2
"5108303",1
"5108907",5
"5200308",6
"5201405",1
"5201702",2
"5202502",2
"5204102",2
"5204409",3
"5204607",1
"5204656",2
"5204706",1
"5205000",1
"5206206",6
"5206404",6
"5208707",3
"5210109",11
"5210802",1
"5212253",3
"5214051",1
"5214606",31
"5214705",1
"5214838",1
"5216304",2
"5217203",7
"5218508",3
"5218805",1
"5218904",3
"5220207",1
"5221403",1
