Estado,Município(s),Nome do Conflito,Data,Famílias,Categoria
Acre,Acrelândia,Seringal Porto Dias,05/06/2021,80,Extrativista
Acre,Acrelândia,Seringal Fortaleza,08/06/2021,60,Posseiro
Acre,Acrelândia,Fazenda Canaã,03/07/2021,72,Posseiro
Acre,Acrelândia,Fazenda Zé Juína,04/07/2021,50,Posseiro
Acre,Acrelândia,Fazenda do Dr. Roberto,13/07/2021,41,Posseiro
Acre,Acrelândia,Fazenda Jéssica,18/07/2021,72,Posseiro
Acre,Acrelândia,Ramal Campo Novo,04/08/2021,45,Posseiro
Acre,Acrelândia,Faz. do Zé Capim/BR-364/Km 105,05/08/2021,40,Posseiro
Acre,Acrelândia,Faz. do Senhor Viana/Ramal da 7/Estrada AC-475/Gl. Porto Luiz,07/08/2021,28,Posseiro
Acre,Acrelândia,Faz. Girassol/Ocup. do Brito,14/08/2021,14,Posseiro
Acre,Acrelândia,Faz. Graúna/BR-364,15/08/2021,80,Posseiro
Acre,Acrelândia,Faz. Sará/Gleba Porto Luiz,20/08/2021,30,Posseiro
Acre,Acrelândia,Ramal Campo Novo,25/08/2021,21,Posseiro
Acre,Acrelândia,Faz. da Rondobrás/BR-364/Km 105/Gleba Porto Luiz,02/09/2021,12,Posseiro
Acre,Acrelândia,Ocupação do Baiano,04/09/2021,38,Posseiro
Acre,Brasiléia,Resex Chico Mendes,12/05/2021,1800,Seringueiro
Acre,Brasiléia,Resex Chico Mendes,17/05/2021,1800,Seringueiro
Acre,Brasiléia,Resex Chico Mendes,22/06/2021,1800,Seringueiro
Acre,Brasiléia,Resex Chico Mendes,02/10/2021,1800,Seringueiro
Acre,Bujari,Faz. Canary/Ramal do Cacau,22/02/2021,400,Posseiro
Acre,Bujari,PA Walter Arce,25/02/2021,510,Assentado
Acre,Bujari,PA Antônio de Holanda,11/07/2021,108,Assentado
Acre,Bujari,Seringal Mercês,02/08/2021,300,Posseiro
Acre,Capixaba,Seringal Capatará /Faz. do Jorge Moura,09/02/2021,15,Posseiro
Acre,Capixaba,Seringal Capatará,18/09/2021,97,Posseiro
Acre,Cruzeiro do Sul,Comunidade Socó,09/06/2021,14,Posseiro
Acre,Cruzeiro do Sul,Seringal Russas,16/06/2021,80,Posseiro
Acre,Cruzeiro do Sul,Seringal Valparaíso,16/06/2021,130,Seringueiro
Acre,Cruzeiro do Sul,Comunidade Ramal do Buritirana,02/09/2021,27,Posseiro
Acre,Epitaciolândia,ÁSreerian gdael  RNeolveva aEnstep eIrnatenrçeasse Ecológico,29/03/2021,27,Extrativista
Acre,Jordão,T. I. Kaxinawa do Baixo Jordão,08/06/2021,368,Indígenas
Acre,Mâncio Lima,T. I. Nawa,30/06/2021,139,Indígenas
Acre,Mâncio Lima,Seringal Santa Cruz/Com. do Oco,10/07/2021,30,Posseiro
Acre,Mâncio Lima,T. I. Nawa,18/07/2021,139,Indígenas
Acre,Manoel Urbano,Seringal Mercejana,12/11/2021,30,Seringueiro
Acre,Manoel Urbano,Seringal Itatinga,12/11/2021,21,Seringueiro
Acre,Manoel Urbano,Seringal São Salvador,12/11/2021,15,Seringueiro
Acre,Manoel Urbano,Seringal Novo Destino,12/11/2021,70,Seringueiro
Acre,Manoel Urbano,Seringal Barcelona,12/11/2021,30,Seringueiro
Acre,Manoel Urbano,Seringal Areis,12/11/2021,101,Seringueiro
Acre,Manoel Urbano,Seringal Porto Central,12/11/2021,18,Seringueiro
Acre,Manoel Urbano,Seringal Santa Cruz,12/11/2021,20,Seringueiro
Acre,Manoel Urbano,Seringal Afluente,12/11/2021,20,Seringueiro
Acre,Marechal Thaumaturgo,Resex Alto Juruá,01/06/2021,1750,Seringueiro
Acre,Plácido de Castro,Ocupação Faz. Jorge Moura,07/05/2021,6,Posseiro
Acre,Plácido de Castro,Faz. Luiz Gomes/Seringal Capatará,20/08/2021,80,Posseiro
Acre,Plácido de Castro,Ocupação Faz. Jorge Moura II,06/09/2021,60,Posseiro
Acre,Rio Branco,Faz. Brahma/Brama,11/07/2021,1020,Assentado
Acre,Rio Branco,Seringal Triunfo,02/08/2021,310,Posseiro
Acre,Rio Branco,Seringal Macapá,13/08/2021,114,Seringueiro
Acre,Rio Branco,Seringal São Bernardo,23/08/2021,38,Seringueiro
Acre,Rio Branco,Seringal Cachoeira,10/09/2021,48,Seringueiro
Acre,Rio Branco,Seringal Humaitá,29/09/2021,20,Seringueiro
Acre,Rio Branco,Seringal São Francisco do Espalha,29/09/2021,350,Seringueiro
Acre,Rio Branco,Seringal São Francisco do Iracema,17/10/2021,300,Seringueiro
Acre,Rio Branco,Seringal Belo Horizonte,01/11/2021,100,Seringueiro
Acre,Sena Madureira,Terra Indígena Mamoadate,30/07/2021,1300,Indígenas
Acre,Sena Madureira,RSaerminagl adl oN Oovuro oAmparo/Ramal do 38/,10/08/2021,15,Seringueiro
Acre,Sena Madureira,Seringal Novo Amparo/Ramal do 25,10/08/2021,15,Seringueiro
Acre,Sena Madureira,T.I Jaminawa do Rio Caeté,13/12/2021,9,Indígenas
Alagoas,Água Branca,T. I. Kalankó,31/08/2021,83,Indígenas
Alagoas,Atalaia,Acamp. Marielle Franco/Faz. SantaTereza,12/02/2021,120,Sem Terra
Alagoas,Coruripe,Usina Guaxuma,15/12/2021,3000,Sem Terra
Alagoas,Girau do Ponciano,P. A. Roseli Nunes/Faz. Tingui,03/11/2021,35,Assentado
Alagoas,Igaci,Acamp. Nossa Senhora deGuadalupe/Área da EstaçãoExperimental,16/04/2021,40,Sem Terra
Alagoas,Joaquim Gomes,Engenho Livramento/Usina Taquara,27/09/2021,58,Posseiro
Alagoas,Pariconha,T. I. Jeripancó,30/04/2021,439,Indígenas
Alagoas,Pariconha,T. I. Katokim/Katokinn,16/08/2021,200,Indígenas
Amapá,Amapá,Fazenda Espírito Santo,16/09/2021,10,Posseiro
Amapá,Amapá,Com. ao Longo do Rio Laranjeiras/Amapá,16/09/2021,30,Posseiro
Amapá,Amapá,São Roque/Redondo,16/09/2021,30,Posseiro
Amapá,Amapá,Fazenda Itapoã,16/09/2021,15,Posseiro
Amapá,Amapá,Base Aérea/Localidade Próxima aoCruzeiro,16/09/2021,40,Posseiro
Amapá,Calçoene,Asa Aberta,28/02/2021,40,Posseiro
Amapá,Calçoene,Ramal Ilha Grande,16/09/2021,15,Posseiro
Amapá,Calçoene,Juncal,16/09/2021,30,Posseiro
Amapá,Calçoene,Assentamento Irineu Filipe,16/09/2021,50,Assentado
Amapá,Calçoene,Garimpo Lourenço,16/09/2021,4,Posseiro
Amapá,Calçoene,Comunidade Sete Ilhas,16/09/2021,15,Posseiro
Amapá,Cutias,Com. Alta Floresta,16/09/2021,75,Posseiro
Amapá,Ferreira Gomes,Fundos Livramento do Aporema,16/09/2021,20,Ribeirinho
Amapá,Itaubal,Jupati,16/09/2021,15,Posseiro
Amapá,Itaubal,Com. Quil. São Miguel do Macacoari,16/09/2021,20,Quilombola
Amapá,Itaubal,P. A. Itaubal do Piririm,16/09/2021,4,Assentado
Amapá,Macapá,Faz. São Sebastião/Campina de SãoBenedito/Pacuí,18/01/2021,200,Posseiro
Amapá,Macapá,Santo Antônio da Pedreira,30/06/2021,30,Ribeirinho
Amapá,Macapá,Porto do Céu,30/07/2021,100,Posseiro
Amapá,Macapá,Assent. Osmar Ribeiro/Ramal doAbacate/Km 34/BR-156,16/09/2021,80,Assentado
Amapá,Macapá,Bailique-Foz,16/09/2021,15,Posseiro
Amapá,Macapá,Áreas em Itaubal/Agronegócio SinalVerde/Boa Vista da Pedreira,16/09/2021,20,Posseiro
Amapá,Macapá,Vila São Joaquim de Pacuí/ComunidadeSão Raimundo,16/09/2021,,Posseiro
Amapá,Macapá,Quilombo Conceição do Macacoari,16/09/2021,20,Quilombola
Amapá,Mazagão,Assentamento Pancada do Camaipi,16/09/2021,400,Assentado
Amapá,Mazagão,Assentamento Extrativista do Maracá,16/09/2021,250,Assentado
Amapá,Mazagão,Assentamento Pancada/Rio Vilanova,16/09/2021,,Posseiro
Amapá,Mazagão,Rio Vilanova/Curumuru/Amapari,07/12/2021,58,Posseiro
Amapá,Oiapoque,Vila Brasil/Ilha Bela,16/09/2021,200,Extrativista
Amapá,Pedra Branca do Amapari,Centro Novo,02/09/2021,23,Posseiro
Amapá,Porto Grande,Sítio São Francisco/Igarapé Gravata,16/09/2021,2,Posseiro
Amapá,Porto Grande,Área da Codepa/Km 92,16/09/2021,22,Posseiro
Amapá,Santana,Fazenda Pau Furado,16/09/2021,15,Ribeirinho
Amapá,Santana,P. A. Matão do Piaçacá,16/09/2021,3,Assentado
Amapá,Santana,Assentamento Anauerapucu,16/09/2021,,Posseiro
Amapá,Santana,Ilha Santana,16/09/2021,20,Ribeirinho
