"municipio","Estado","Município.s.","Data","Tdreanbú..nncaia","Resgatados","Menores","ano","CD_MUN"
"RS_Putinga","RS","Putinga","20/04/2022",4,4,NA,2022,4315206
"RS_Quaraí","RS","Quaraí","15/03/2022",1,1,NA,2022,4315305
"RS_Quaraí","RS","Quaraí","15/07/2021",1,1,NA,2021,4315305
"RS_Santa Vitória do Palmar","RS","Santa Vitória do Palmar","20/04/2022",5,5,NA,2022,4317301
"RS_São Borja","RS","São Borja","25/02/2022",17,12,1,2022,4318002
"RS_São Borja","RS","São Borja","18/02/2022",4,4,0,2022,4318002
"RS_São Francisco de Paula","RS","São Francisco de Paula","27/07/2022",14,14,NA,2022,4318200
"RS_Serafina Corrêa","RS","Serafina Corrêa","15/07/2022",26,26,NA,2022,4320404
"RS_Triunfo","RS","Triunfo","23/05/2021",18,18,NA,2021,4322004
"RS_Venâncio Aires","RS","Venâncio Aires","31/01/2021",4,4,NA,2021,4322608
"RS_Venâncio Aires","RS","Venâncio Aires","25/02/2021",11,9,5,2021,4322608
"SC_Bom Retiro","SC","Bom Retiro","17/12/2021",4,4,NA,2021,4202602
"SC_Caçador","SC","Caçador","30/01/2022",19,19,NA,2022,4203006
"SC_São Joaquim","SC","São Joaquim","05/04/2022",22,22,NA,2022,4216503
"SC_São Joaquim","SC","São Joaquim","05/04/2022",7,7,NA,2022,4216503
"SC_São Joaquim","SC","São Joaquim","05/04/2022",17,17,NA,2022,4216503
"SE_Canindé de São Francisco","SE","Canindé de São Francisco","30/05/2021",2,2,NA,2021,2801207
"SE_Maruim","SE","Maruim","24/01/2022",11,11,NA,2022,2804003
"SE_Neópolis","SE","Neópolis","27/07/2022",1,1,NA,2022,2804409
"SP_Alfredo Marcondes","SP","Alfredo Marcondes","17/03/2022",5,5,NA,2022,3500808
"SP_Cafelândia","SP","Cafelândia","23/06/2022",12,NA,NA,2022,3508801
"SP_Guatapará","SP","Guatapará","20/10/2021",2,2,NA,2021,3518859
"SP_Ituverava","SP","Ituverava","09/04/2021",22,22,NA,2021,3524105
"SP_Ituverava","SP","Ituverava","09/04/2021",22,0,NA,2021,3524105
"SP_Limeira","SP","Limeira","20/12/2021",3,3,NA,2021,3526902
"SP_Mairiporã","SP","Mairiporã","15/01/2022",4,4,NA,2022,3528502
"SP_Marília","SP","Marília","15/03/2022",12,12,NA,2022,3529005
"SP_Martinópolis","SP","Martinópolis","15/03/2022",13,13,NA,2022,3529203
"SP_Martinópolis","SP","Martinópolis","15/03/2022",8,8,NA,2022,3529203
"SP_Patrocínio Paulista","SP","Patrocínio Paulista","27/07/2022",16,16,NA,2022,3536307
"SP_Pedregulho","SP","Pedregulho","06/06/2021",56,56,10,2021,3537008
"SP_Ribeirão Preto","SP","Ribeirão Preto","23/07/2022",18,18,NA,2022,3543402
"SP_Salto de Pirapora","SP","Salto de Pirapora","23/08/2022",9,9,NA,2022,3545308
"SP_São José do Rio Preto","SP","São José do Rio Preto","15/03/2022",2,2,NA,2022,3549805
"TO_Arapoema","TO","Arapoema","23/10/2021",5,NA,NA,2021,1702307
"TO_Couto Magalhães","TO","Couto Magalhães","05/04/2022",4,4,NA,2022,1706001
"TO_Darcinópolis","TO","Darcinópolis","31/12/2022",1,1,0,2022,1706506
"TO_Gurupi","TO","Gurupi","27/04/2021",8,NA,NA,2021,1709500
"TO_Mateiros","TO","Mateiros","21/05/2021",7,NA,1,2021,1712702
"TO_Monte Santo do Tocantins","TO","Monte Santo do Tocantins","31/01/2021",15,15,NA,2021,1713700
"TO_Paraíso do Tocantins","TO","Paraíso do Tocantins","10/06/2022",2,2,NA,2022,1716109
"TO_Paranã","TO","Paranã","07/01/2022",1,NA,NA,2022,1716208
