"Ano","Geocodigo","Valor","Tipo"
"1998",5103304,3,"embargos_desmatamento"
"1998",5103403,1,"embargos_desmatamento"
"1998",5106505,1,"embargos_desmatamento"
"1998",5107008,1,"embargos_desmatamento"
"1998",5107065,1,"embargos_desmatamento"
"1998",5107602,1,"embargos_desmatamento"
"1998",5107776,1,"embargos_desmatamento"
"1998",5107909,1,"embargos_desmatamento"
"1998",5203906,1,"embargos_desmatamento"
"1998",5215702,1,"embargos_desmatamento"
"1998",5220603,1,"embargos_desmatamento"
"1999",1100304,1,"embargos_desmatamento"
"1999",1100700,1,"embargos_desmatamento"
"1999",1101302,1,"embargos_desmatamento"
"1999",1101492,1,"embargos_desmatamento"
"1999",1101757,1,"embargos_desmatamento"
"1999",1400100,1,"embargos_desmatamento"
"1999",1400209,1,"embargos_desmatamento"
"1999",1500602,1,"embargos_desmatamento"
"1999",1503606,1,"embargos_desmatamento"
"1999",1504208,1,"embargos_desmatamento"
"1999",1505031,2,"embargos_desmatamento"
"1999",1505437,1,"embargos_desmatamento"
"1999",1505650,1,"embargos_desmatamento"
"1999",1506807,2,"embargos_desmatamento"
"1999",1507300,2,"embargos_desmatamento"
"1999",1702208,1,"embargos_desmatamento"
"1999",1702406,1,"embargos_desmatamento"
"1999",1713601,1,"embargos_desmatamento"
"1999",1718204,1,"embargos_desmatamento"
"1999",1718501,1,"embargos_desmatamento"
"1999",1721000,1,"embargos_desmatamento"
"1999",2100055,1,"embargos_desmatamento"
"1999",2106706,1,"embargos_desmatamento"
"1999",2109809,1,"embargos_desmatamento"
"1999",2305506,2,"embargos_desmatamento"
"1999",2310209,1,"embargos_desmatamento"
"1999",2504603,2,"embargos_desmatamento"
"1999",2605202,1,"embargos_desmatamento"
"1999",2703809,1,"embargos_desmatamento"
"1999",2706703,1,"embargos_desmatamento"
"1999",2800308,4,"embargos_desmatamento"
"1999",2802908,1,"embargos_desmatamento"
"1999",2803302,1,"embargos_desmatamento"
"1999",2805604,1,"embargos_desmatamento"
"1999",2806701,1,"embargos_desmatamento"
"1999",2902005,1,"embargos_desmatamento"
"1999",2904902,1,"embargos_desmatamento"
"1999",2905206,1,"embargos_desmatamento"
"1999",2908002,1,"embargos_desmatamento"
"1999",2913606,1,"embargos_desmatamento"
"1999",2917359,1,"embargos_desmatamento"
"1999",2919405,1,"embargos_desmatamento"
"1999",2925501,1,"embargos_desmatamento"
"1999",2926400,1,"embargos_desmatamento"
"1999",2928109,1,"embargos_desmatamento"
"1999",2929750,5,"embargos_desmatamento"
"1999",2930758,1,"embargos_desmatamento"
"1999",2933307,1,"embargos_desmatamento"
"1999",3102902,1,"embargos_desmatamento"
"1999",3109501,1,"embargos_desmatamento"
"1999",3112802,1,"embargos_desmatamento"
"1999",3114402,1,"embargos_desmatamento"
"1999",3116209,1,"embargos_desmatamento"
"1999",3118304,1,"embargos_desmatamento"
"1999",3121209,2,"embargos_desmatamento"
"1999",3130705,1,"embargos_desmatamento"
"1999",3134608,1,"embargos_desmatamento"
"1999",3136009,1,"embargos_desmatamento"
"1999",3136702,1,"embargos_desmatamento"
"1999",3137601,1,"embargos_desmatamento"
"1999",3138302,1,"embargos_desmatamento"
"1999",3143302,1,"embargos_desmatamento"
"1999",3147006,1,"embargos_desmatamento"
"1999",3149150,1,"embargos_desmatamento"
"1999",3149309,1,"embargos_desmatamento"
"1999",3152501,1,"embargos_desmatamento"
"1999",3165537,1,"embargos_desmatamento"
"1999",3169406,1,"embargos_desmatamento"
"1999",3170107,1,"embargos_desmatamento"
"1999",3170404,1,"embargos_desmatamento"
"1999",3200102,1,"embargos_desmatamento"
"1999",3200904,2,"embargos_desmatamento"
"1999",3201704,1,"embargos_desmatamento"
"1999",3203205,1,"embargos_desmatamento"
"1999",3204203,1,"embargos_desmatamento"
"1999",3204658,2,"embargos_desmatamento"
"1999",3205150,1,"embargos_desmatamento"
"1999",3205309,2,"embargos_desmatamento"
"1999",3303807,1,"embargos_desmatamento"
"1999",3305505,1,"embargos_desmatamento"
"1999",3521002,1,"embargos_desmatamento"
"1999",3547908,1,"embargos_desmatamento"
"1999",4211603,1,"embargos_desmatamento"
"1999",4211900,1,"embargos_desmatamento"
"1999",4213807,2,"embargos_desmatamento"
"1999",4218905,1,"embargos_desmatamento"
"1999",4300802,1,"embargos_desmatamento"
"1999",4301909,1,"embargos_desmatamento"
"1999",4303608,1,"embargos_desmatamento"
"1999",4305108,3,"embargos_desmatamento"
"1999",4308201,1,"embargos_desmatamento"
"1999",4309506,1,"embargos_desmatamento"
"1999",4314407,1,"embargos_desmatamento"
"1999",4315503,1,"embargos_desmatamento"
"1999",4316907,2,"embargos_desmatamento"
"1999",4317103,2,"embargos_desmatamento"
"1999",4317608,1,"embargos_desmatamento"
"1999",4318200,1,"embargos_desmatamento"
"1999",4318804,1,"embargos_desmatamento"
"1999",4322707,1,"embargos_desmatamento"
"1999",5000906,1,"embargos_desmatamento"
"1999",5103056,2,"embargos_desmatamento"
"1999",5103403,3,"embargos_desmatamento"
"1999",5103700,1,"embargos_desmatamento"
"1999",5104559,2,"embargos_desmatamento"
"1999",5106265,1,"embargos_desmatamento"
"1999",5106828,1,"embargos_desmatamento"
"1999",5107008,1,"embargos_desmatamento"
"1999",5107800,1,"embargos_desmatamento"
"1999",5107909,1,"embargos_desmatamento"
"1999",5107925,1,"embargos_desmatamento"
"1999",5107958,1,"embargos_desmatamento"
"1999",5200803,1,"embargos_desmatamento"
"1999",5208905,1,"embargos_desmatamento"
"1999",5213103,2,"embargos_desmatamento"
"1999",5214606,3,"embargos_desmatamento"
"1999",5217104,1,"embargos_desmatamento"
