system:index,AREA_KM2,CD_MUN,NM_MUN,SIGLA_UF,sum,.geo
000000000000000005f9,39.608,2702207,Coqueiro Seco,AL,7.582314147949227,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005fa,897.8,2702306,Coruripe,AL,22.7725350200339,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005fb,278.879,2702355,Craíbas,AL,15.120897919227751,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005fc,628.545,2702405,Delmiro Gouveia,AL,209.82069702239392,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005fd,141.621,2702504,Dois Riachos,AL,28.64133278629078,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005fe,260.772,2702553,Estrela de Alagoas,AL,102.69328952636644,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ff,175.906,2702603,Feira Grande,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000600,110.062,2702702,Feliz Deserto,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000601,333.756,2702801,Flexeiras,AL,42.7233872741699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000602,513.454,2702900,Girau do Ponciano,AL,245.72915796769638,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000603,265.312,2703007,Ibateguara,AL,54.06433112182617,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000604,334.346,2703106,Igaci,AL,15.012968948591642,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000605,426.538,2703205,Igreja Nova,AL,83.11760602416977,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000606,372.019,2703304,Inhapi,AL,30.802046661376988,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000607,148.992,2703403,Jacaré dos Homens,AL,4.144063848876954,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000608,208.738,2703502,Jacuípe,AL,29.598599536132816,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000609,85.356,2703601,Japaratinga,AL,6.582210961196003,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060a,105.416,2703700,Jaramataia,AL,84.01554180297855,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060b,334.265,2703759,Jequiá da Praia,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060c,298.17,2703809,Joaquim Gomes,AL,16.248627325439454,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060d,88.793,2703908,Jundiá,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060e,247.724,2704005,Junqueiro,AL,0.9336149693148744,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060f,83.621,2704104,Lagoa da Canoa,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000610,309.205,2704203,Limoeiro de Anadia,AL,2.0272011962890626,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000611,509.32,2704302,Maceió,AL,36.95289425048827,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000612,442.744,2704401,Major Isidoro,AL,133.94818575219324,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000613,334.165,2704500,Maragogi,AL,12.986367962646485,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000614,332.37,2704609,Maravilha,AL,303.15074755323155,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000615,340.98,2704708,Marechal Deodoro,AL,34.72655559692381,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000616,180.107,2704807,Maribondo,AL,60.50056668090796,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000617,91.741,2704906,Mar Vermelho,AL,10.993073032944624,"{""type"":""MultiPoint"",""coordinates"":[]}"
