system:index,AREA_KM2,CD_MUN,NM_MUN,SIGLA_UF,mapbiomas_deforestation_2021,mapbiomas_deforestation_2022,.geo
000000000000000005fb,278.879,2702355,Craíbas,AL,13.212282802566836,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005fc,628.545,2702405,Delmiro Gouveia,AL,6.175812072753906,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005fd,141.621,2702504,Dois Riachos,AL,0.6321827563476563,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005fe,260.772,2702553,Estrela de Alagoas,AL,12.61434224853516,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ff,175.906,2702603,Feira Grande,AL,1.3215677307128906,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000600,110.062,2702702,Feliz Deserto,AL,29.940181691822648,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000601,333.756,2702801,Flexeiras,AL,3.4424220825195313,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000602,513.454,2702900,Girau do Ponciano,AL,2.9083688354492185,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000603,265.312,2703007,Ibateguara,AL,5.830760296630859,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000604,334.346,2703106,Igaci,AL,0.5429753395230161,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000605,426.538,2703205,Igreja Nova,AL,13.557879925537112,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000606,372.019,2703304,Inhapi,AL,0.5294982360839844,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000607,148.992,2703403,Jacaré dos Homens,AL,12.87391401367188,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000608,208.738,2703502,Jacuípe,AL,2.0319856323242185,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000609,85.356,2703601,Japaratinga,AL,3.267274456787109,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060a,105.416,2703700,Jaramataia,AL,0.4407792175292969,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060b,334.265,2703759,Jequiá da Praia,AL,4.225301626862171,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060c,298.17,2703809,Joaquim Gomes,AL,10.596645684814446,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060d,88.793,2703908,Jundiá,AL,0.08833548583984376,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060e,247.724,2704005,Junqueiro,AL,1.5861025512695313,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060f,83.621,2704104,Lagoa da Canoa,AL,0.26435450439453123,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000610,309.205,2704203,Limoeiro de Anadia,AL,1.5866738830566405,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000611,509.32,2704302,Maceió,AL,10.40669220581055,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000612,442.744,2704401,Major Isidoro,AL,13.050880065917971,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000613,334.165,2704500,Maragogi,AL,11.395066607666015,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000614,332.37,2704609,Maravilha,AL,1.5888387817382812,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000615,340.98,2704708,Marechal Deodoro,AL,15.689005139160152,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000616,180.107,2704807,Maribondo,AL,0.7937070312500001,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000617,91.741,2704906,Mar Vermelho,AL,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000618,914.722,2705002,Mata Grande,AL,10.597674127197267,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000619,238.113,2705101,Matriz de Camaragibe,AL,8.035302197265626,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061a,114.156,2705200,Messias,AL,0.41698000464345897,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061b,167.462,2705309,Minador do Negrão,AL,14.432846619298589,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061c,86.604,2705408,Monteirópolis,AL,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061d,418.028,2705507,Murici,AL,22.8849949777401,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
