system:index,AREA_KM2,CD_MUN,NM_MUN,SIGLA_UF,sum,.geo
000000000000000005ff,175.906,2702603,Feira Grande,AL,115.89820883269675,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000600,110.062,2702702,Feliz Deserto,AL,1.5807723189290361,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000601,333.756,2702801,Flexeiras,AL,6325.635255201752,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000602,513.454,2702900,Girau do Ponciano,AL,7014.904292134613,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000603,265.312,2703007,Ibateguara,AL,1231.1828684021023,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000604,334.346,2703106,Igaci,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000605,426.538,2703205,Igreja Nova,AL,9.835005744892198,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000606,372.019,2703304,Inhapi,AL,1246.8463384550564,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000607,148.992,2703403,Jacaré dos Homens,AL,370.2482874171355,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000608,208.738,2703502,Jacuípe,AL,1910.3980262569512,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000609,85.356,2703601,Japaratinga,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060a,105.416,2703700,Jaramataia,AL,60.41952484499476,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060b,334.265,2703759,Jequiá da Praia,AL,2294.824055684707,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060c,298.17,2703809,Joaquim Gomes,AL,8414.521842793434,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060d,88.793,2703908,Jundiá,AL,48.271106383846465,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060e,247.724,2704005,Junqueiro,AL,138.7715740478523,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060f,83.621,2704104,Lagoa da Canoa,AL,40.39399992929494,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000610,309.205,2704203,Limoeiro de Anadia,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000611,509.32,2704302,Maceió,AL,88.88975179443553,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000612,442.744,2704401,Major Isidoro,AL,29.121324215590576,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000613,334.165,2704500,Maragogi,AL,10583.89004337882,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000614,332.37,2704609,Maravilha,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000615,340.98,2704708,Marechal Deodoro,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000616,180.107,2704807,Maribondo,AL,132.3522745576042,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000617,91.741,2704906,Mar Vermelho,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000618,914.722,2705002,Mata Grande,AL,931.5487066268065,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000619,238.113,2705101,Matriz de Camaragibe,AL,4076.5620897504805,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061a,114.156,2705200,Messias,AL,418.63647034596994,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061b,167.462,2705309,Minador do Negrão,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061c,86.604,2705408,Monteirópolis,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061d,418.028,2705507,Murici,AL,5451.0675304188,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061e,215.547,2705606,Novo Lino,AL,4541.353221116794,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061f,188.221,2705705,Olho d'Água das Flores,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000620,327.678,2705804,Olho d'Água do Casado,AL,6546.116049867447,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000621,117.006,2705903,Olho d'Água Grande,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000622,175.288,2706000,Olivença,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000623,196.56,2706109,Ouro Branco,AL,30.811097576904277,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000624,38.189,2706208,Palestina,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000625,450.99,2706307,Palmeira dos Índios,AL,7598.934623456864,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000626,688.87,2706406,Pão de Açúcar,AL,1946.8228657233142,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000627,254.719,2706422,Pariconha,AL,236.4812584411665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000628,92.788,2706448,Paripueira,AL,531.7078484680093,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000629,251.29,2706505,Passo de Camaragibe,AL,123.26890579527645,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062a,118.457,2706604,Paulo Jacinto,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062b,688.452,2706703,Penedo,AL,1070.5999305368593,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062c,243.686,2706802,Piaçabuçu,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062d,259.614,2706901,Pilar,AL,358.75870344419656,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062e,117.086,2707008,Pindoba,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062f,403.995,2707107,Piranhas,AL,3588.493540357159,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000630,284.26,2707206,Poço das Trincheiras,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000631,313.231,2707305,Porto Calvo,AL,2701.4450037175716,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000632,257.105,2707404,Porto de Pedras,AL,1409.7161371214547,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000633,235.852,2707503,Porto Real do Colégio,AL,1187.4079897273093,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000634,319.829,2707602,Quebrangulo,AL,3382.994647289344,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000635,293.816,2707701,Rio Largo,AL,1028.7380145751206,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000636,128.926,2707800,Roteiro,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000637,28.857,2707909,Santa Luzia do Norte,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000638,436.16,2708006,Santana do Ipanema,AL,49.85237955932586,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000639,232.169,2708105,Santana do Mundaú,AL,15.137471520325914,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063a,139.038,2708204,São Brás,AL,3576.380015072198,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063b,256.603,2708303,São José da Laje,AL,2.3560307152602245,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063c,490.879,2708402,São José da Tapera,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063d,397.257,2708501,São Luís do Quitunde,AL,7942.963744467109,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063e,335.683,2708600,São Miguel dos Campos,AL,56.937913848876924,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063f,76.731,2708709,São Miguel dos Milagres,AL,603.8668213774457,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000640,314.924,2708808,São Sebastião,AL,1291.4768463246235,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000641,41.268,2708907,Satuba,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000642,338.569,2708956,Senador Rui Palmeira,AL,8.292695839819817,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000643,124.617,2709004,Tanque d'Arca,AL,84.57918201904415,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000644,153.841,2709103,Taquarana,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000645,299.221,2709152,Teotônio Vilela,AL,521.752664947511,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000646,681.577,2709202,Traipu,AL,3840.1967273715154,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000647,420.376,2709301,União dos Palmares,AL,4353.866353189532,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000648,367.888,2709400,Viçosa,AL,1394.7767566647453,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,5923.461,1300029,Alvarães,AM,311558.97284242936,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,4754.109,1300060,Amaturá,AM,215854.24837540343,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,2446.121,1300086,Anamã,AM,22496.573926901296,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,6036.38,1300102,Anori,AM,520494.3037688805,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,54240.545,1300144,Apuí,AM,4993328.551444006,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,76507.617,1300201,Atalaia do Norte,AM,6467766.956083367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,7652.852,1300300,Autazes,AM,219731.24972085963,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,122461.086,1300409,Barcelos,AM,5913745.587229426,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,5751.765,1300508,Barreirinha,AM,190684.5581394736,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,8705.441,1300607,Benjamin Constant,AM,787239.9188368211,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,17472.779,1300631,Beruri,AM,1411847.8841613075,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,2589.407,1300680,Boa Vista do Ramos,AM,33.808368464068266,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,21938.583,1300706,Boca do Acre,AM,931169.940968903,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,44236.184,1300805,Borba,AM,3731137.998671787,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,9455.539,1300839,Caapiranga,AM,29676.13375172307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,33642.732,1300904,Canutama,AM,2493948.3499031602,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,25778.658,1301001,Carauari,AM,1658877.364113849,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,6096.212,1301100,Careiro,AM,141980.15895878707,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,2627.474,1301159,Careiro da Várzea,AM,21254.95567664817,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,57970.768,1301209,Coari,AM,493330.0476217187,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,18700.713,1301308,Codajás,AM,220030.87189142767,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,14966.242,1301407,Eirunepé,AM,955606.9703614864,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,7505.794,1301506,Envira,AM,78982.7435220448,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,12155.427,1301605,Fonte Boa,AM,777395.972243989,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,7583.534,1301654,Guajará,AM,36146.44053586194,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,33111.129,1301704,Humaitá,AM,2297558.6852411204,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,12109.779,1301803,Ipixuna,AM,523822.9385315107,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,2216.817,1301852,Iranduba,AM,94874.83063578041,"{""type"":""MultiPoint"",""coordinates"":[]}"
