Ano,Regiao,Uf Sigla,Municipio Primario,Nome Conflito,Data,Numero De Pessoas,Tipo De Violencia,Categoria Causou Acao,Categoria Sofreu Acao,Categoria Vitima Violencia,Eixos De Violencia,Genero,Idade,Identidade De Genero,Orientacao Sexual,Raca Cor,Municipios Vitima,Lugar
2016,Norte,RO,Monte Negro (RO),Faz. Fluminense/Acamp. Luís Carlos/Linha 25/Gleba Rio Alto ,03/04/2016,1,Prisão,Fazendeiro,Sem Terra,Sem Terra,Terra,M - Masculino,29,,,,Buritis (RO),"Linha 36, Marco Alumínio, Buritis"
2016,Norte,RO,Monte Negro (RO),Faz. Fluminense/Acamp. Luís Carlos/Linha 25/Gleba Rio Alto ,05/22/2016,1,Assassinato,Fazendeiro,Sem Terra,Sem Terra,Terra,M - Masculino,25,,,,Buritis (RO),"Linha C-26, Rio Candeias"
2016,Norte,RO,Monte Negro (RO),Faz. Fluminense/Acamp. Luís Carlos/Linha 25/Gleba Rio Alto ,05/22/2016,1,Assassinato,Fazendeiro,Sem Terra,Sem Terra,Terra,F -  Feminino,14,,,,Buritis (RO),"Linha C-26, Rio Candeias"
2016,Norte,RO,Monte Negro (RO),Faz. Mourão/Linha C-25/Lote B30,05/28/2016,1,Prisão,Fazendeiro,Sem Terra,Sem Terra,Terra,M - Masculino,18,,,,Monte Negro (RO),"Bar do Pudim, em Monte Negro"
2016,Norte,RO,Monte Negro (RO),Faz. Padre Cícero/Acamp. Monte Verde,02/26/2016,1,Prisão,Fazendeiro,Sem Terra,Sem Terra,Terra,M - Masculino,27,,,,Monte Negro (RO),"Travessão 34 C/36, Fundiária Pe. Cícero "
2016,Norte,RO,Monte Negro (RO),Faz. Padre Cícero/Acamp. Monte Verde,02/26/2016,1,Prisão,Fazendeiro,Sem Terra,Sem Terra,Terra,M - Masculino,31,,,,Monte Negro (RO),"Travessão 34 C/36, Fundiária Pe. Cícero "
2016,Norte,RO,Monte Negro (RO),Faz. Padre Cícero/Acamp. Monte Verde,03/10/2016,1,Prisão,Fazendeiro,Sem Terra,Sem Terra,Terra,M - Masculino,52,,,,Monte Negro (RO),Perto da fazenda Padre Cícero 
2016,Norte,RO,Monte Negro (RO),Faz. Padre Cícero/Acamp. Monte Verde,05/09/2016,1,Assassinato,Fazendeiro,Sem Terra,Sem Terra,Terra,M - Masculino,40,,,,Buritis (RO),"Linha 34, Km, Zona rural de Buritis"
2016,Norte,RO,Porto Velho (RO),Acamp. Velha Mutum-Paraná/Km 871/BR-364/UHE Jirau e Sto. Antônio ,01/07/2016,1,Assassinato,Hidrelétrica,Pescador,Atingido por barragem,Água,F -  Feminino,58,,,,Porto Velho (RO),Acamp. Velha Mutum-Paraná
2016,Norte,RO,Porto Velho (RO),Setor Chacareiro e Hortifrutigranjeiro Adelino Ramos,02/21/2016,1,Ameaça de Morte,Empresário,Posseiro,Posseiro,Terra,F -  Feminino,,,,,Porto Velho (RO),Setor Chacareiro e Hortifrutigranjeiro Adelino Ramos
2016,Norte,RO,Porto Velho (RO),Setor Chacareiro e Hortifrutigranjeiro Adelino Ramos,02/21/2016,1,Ameaça de Morte,Empresário,Posseiro,Posseiro,Terra,F -  Feminino,,,,,Porto Velho (RO),Setor Chacareiro e Hortifrutigranjeiro Adelino Ramos
2016,Norte,RO,Porto Velho (RO),Setor Chacareiro e Hortifrutigranjeiro Adelino Ramos,02/21/2016,1,Ameaça de Morte,Empresário,Posseiro,Posseiro,Terra,M - Masculino,,,,,Porto Velho (RO),Setor Chacareiro e Hortifrutigranjeiro Adelino Ramos
2016,Norte,RO,Porto Velho (RO),Setor Chacareiro e Hortifrutigranjeiro Adelino Ramos,02/21/2016,1,Ameaça de Morte,Empresário,Posseiro,Posseiro,Terra,M - Masculino,41,,,,Porto Velho (RO),Setor Chacareiro e Hortifrutigranjeiro Adelino Ramos
2016,Norte,RO,Seringueiras (RO),T. I. Uru-Eu-Wau-Wau,02/07/2016,1,Ameaça de Morte,Fazendeiro,Indígenas,Indígenas,Terra,M - Masculino,A,,,Indígena,Costa Marques (RO),Terra Indígena Uru-Eu-Wau-Wau
2016,Norte,TO,Araguaína (TO),Loteamento Caju Manso/Lt. 2/Faz. Pinheiro/Com. Gurgueia,01/09/2016,1,Ameaça de Morte,Fazendeiro,Posseiro,Posseiro,Terra,M - Masculino,35,,,,Araguaína (TO),Faz. Pinheiro/Comunidade Gurgueia
2016,Norte,TO,Araguaína (TO),Loteamento Caju Manso/Lt. 2/Faz. Pinheiro/Com. Gurgueia,01/09/2016,1,Ameaça de Morte,Fazendeiro,Posseiro,Posseiro,Terra,M - Masculino,A,,,,Araguaína (TO),Faz. Pinheiro/Comunidade Gurgueia
2016,Norte,TO,Carrasco Bonito (TO),P. A. Cupim/Acamp. Santa Maria,06/27/2016,1,Prisão,Policial militar,Sem Terra,Sem Terra,Terra,M - Masculino,A,,,,Carrasco Bonito (TO),P.A. Cupim/Acamp. Santa Maria
2016,Norte,TO,Carrasco Bonito (TO),P. A. Cupim/Acamp. Santa Maria,06/27/2016,1,Prisão,Policial militar,Sem Terra,Sem Terra,Terra,M - Masculino,A,,,,Carrasco Bonito (TO),P.A. Cupim/Acamp. Santa Maria
2016,Norte,TO,Carrasco Bonito (TO),P. A. Cupim/Acamp. Santa Maria,06/27/2016,1,Agressão,Policial militar,Sem Terra,Sem Terra,Terra,M - Masculino,A,,,,Carrasco Bonito (TO),P.A. Cupim/Acamp. Santa Maria
2016,Norte,TO,Carrasco Bonito (TO),P. A. Cupim/Acamp. Santa Maria,06/27/2016,1,Prisão,Policial militar,Sem Terra,Sem Terra,Terra,M - Masculino,A,,,,Carrasco Bonito (TO),P.A. Cupim/Acamp. Santa Maria
2016,Norte,TO,Carrasco Bonito (TO),P. A. Cupim/Acamp. Santa Maria,06/27/2016,1,Prisão,Policial militar,Sem Terra,Sem Terra,Terra,M - Masculino,A,,,,Carrasco Bonito (TO),P.A. Cupim/Acamp. Santa Maria
2016,Norte,TO,Carrasco Bonito (TO),P. A. Cupim/Acamp. Santa Maria,06/27/2016,1,Agressão,Policial militar,Sem Terra,Sem Terra,Terra,M - Masculino,A,,,,Carrasco Bonito (TO),P.A. Cupim/Acamp. Santa Maria
2016,Norte,TO,Palmas (TO),Manifestações 2016,03/08/2016,5,Prisão,,,Sem Terra,Terra,M - Masculino,A,,,,Palmas (TO),Prédio do MAPA
2016,Norte,TO,Porto Nacional (TO),P.A. Zé Pereira,06/26/2016,1,Assassinato,Sem Informação,Assentado,Assentado,Terra,M - Masculino,52,,,,Porto Nacional (TO),P.A. Zé Pereira
