Ano,Regiao,Uf Sigla,Municipio Primario,Nome Conflito,Categoria Causou Acao,Categoria Sofreu Acao,Situacao Conflito Agua,Tipo Conflito Agua,Tipo De Violencia
2019,Norte,AP,Ferreira Gomes (AP),UHE Ferreira Gomes,Hidrelétrica,Ribeirinho,Não cumprimento de procedimentos legais,Barragens e Açudes,
2019,Norte,AP,Porto Grande (AP),UHE Cachoeira Caldeirão,Hidrelétrica,Pescador,Não cumprimento de procedimentos legais,Barragens e Açudes,
2019,Norte,PA,Abaetetuba (PA),Comunidades do Curuperé-Grande/Barreira Sanitária,Empresário Internacional,Ribeirinho,Destruição e ou poluição,Uso e preservação,Danos
2019,Norte,PA,Altamira (PA),T.I. Kararaô,Hidrelétrica,Indígenas,Não cumprimento de procedimentos legais,Barragens e Açudes,Danos
2019,Norte,PA,Altamira (PA),T. I. Xipáia Kuruáia/UHE Belo Monte,Hidrelétrica,Indígenas,Destruição e ou poluição,Barragens e Açudes,Danos
2019,Norte,PA,Altamira (PA),UHE Belo Monte/Consórcio Norte Energia,Hidrelétrica,Ribeirinho,Reassentamento inadequado,Barragens e Açudes,Danos
2019,Norte,PA,Anapu (PA),Com. Nova Conquista/Rio das Pedras/UHE Belo Monte/PAC,Hidrelétrica,Ribeirinho,Diminuição do acesso à Água,Barragens e Açudes,Danos
2019,Norte,PA,Anapu (PA),T. I. Paquiçamba/Juruna/UHE Belo Monte/PAC,Hidrelétrica,Indígenas,Diminuição do acesso à Água,Barragens e Açudes,Danos
2019,Norte,PA,Barcarena (PA),Com. Bom Futuro/Mineradora Hydro Alunorte,Mineradora internacional,Ribeirinho,Não cumprimento de procedimentos legais,Barragens e Açudes,Intimidação
2019,Norte,PA,Barcarena (PA),Com. Gibrié de São Lourenço/Hydro Alunorte,Mineradora internacional,Quilombola,Não cumprimento de procedimentos legais,Barragens e Açudes,Intimidação
2019,Norte,PA,Barcarena (PA),Com. Quil. Cupuaçu Boa Vista/Hydro Alunorte,Mineradora internacional,Quilombola,Não cumprimento de procedimentos legais,Barragens e Açudes,Intimidação
2019,Norte,PA,Barcarena (PA),Com. Renascer com Cristo/Mineradora Hydro Alunorte,Mineradora internacional,Ribeirinho,Destruição e ou poluição,Barragens e Açudes,Danos
2019,Norte,PA,Barcarena (PA),Com. Sítio São João/Hydro Alunorte,Mineradora internacional,Quilombola,Não cumprimento de procedimentos legais,Barragens e Açudes,Danos
2019,Norte,PA,Barcarena (PA),Com. Vila do Conde/Furo do Arrozal/Multinacional Bunge/Hydro Alunorte,Mineradora internacional,Ribeirinho,Não cumprimento de procedimentos legais,Barragens e Açudes,Danos
2019,Norte,PA,Barcarena (PA),Com. Vila Nova/Mineradora Hydro Alunorte,Mineradora internacional,Ribeirinho,Não cumprimento de procedimentos legais,Barragens e Açudes,Intimidação
2019,Norte,PA,Cumaru do Norte (PA),T. I. Kayapó,Mineradora internacional,Indígenas,Destruição e ou poluição,Uso e preservação,Danos
2019,Norte,PA,Cumaru do Norte (PA),T. I. Kayapó,Mineradora internacional,Indígenas,Não cumprimento de procedimentos legais,Uso e preservação,
2019,Norte,PA,Itaituba (PA),Reserva Indígena Praia do Índio,Empresário,Indígenas,Destruição e ou poluição,Uso e preservação,Danos
2019,Norte,PA,Parauapebas (PA),T. I. Xikrin do Cateté,Mineradora internacional,Indígenas,Destruição e ou poluição,Uso e preservação,Danos
2019,Norte,PA,Parauapebas (PA),T. I. Xikrin do Cateté,Mineradora internacional,Indígenas,Não cumprimento de procedimentos legais,Uso e preservação,
2019,Norte,PA,Santarém (PA),Com. Quilombola de Murumurutuba,Empresário,Quilombola,Não cumprimento de procedimentos legais,Uso e preservação,Omissão/Conivência
2019,Norte,PA,Santarém (PA),Com. Quilombola Maria Valentina,Empresário,Quilombola,Não cumprimento de procedimentos legais,Uso e preservação,Omissão/Conivência
2019,Norte,PA,Santarém (PA),Com. Quilombola Saracura e Arapemã,Empresário,Quilombola,Destruição e ou poluição,Uso e preservação,Danos
2019,Norte,PA,Santarém (PA),Com. Quil. Pérola do Maicá,Empresário,Quilombola,Não cumprimento de procedimentos legais,Uso e preservação,Omissão/Conivência
