Ano,Regiao,Uf Sigla,Municipio Primario,Nome Conflito,Categoria Causou Acao,Categoria Sofreu Acao,Situacao Conflito Agua,Tipo Conflito Agua,Tipo De Violencia
2018,Norte,PA,Altamira (PA),UHE Belo Monte/Consórcio Norte Energia,Hidrelétrica,Ribeirinho,Não reassentamento,Barragens e Açudes,Omissão/Conivência
2018,Norte,PA,Barcarena (PA),Com. Água Verde/Hydro Alunorte,Mineradora internacional,Ribeirinho,Destruição e ou poluição,Barragens e Açudes,Omissão/Conivência
2018,Norte,PA,Barcarena (PA),Com. Bom Futuro/Mineradora Hydro Alunorte,Mineradora internacional,Ribeirinho,Destruição e ou poluição,Barragens e Açudes,Ameaça de Morte
2018,Norte,PA,Barcarena (PA),Com. Bom Futuro/Mineradora Hydro Alunorte,Mineradora internacional,Ribeirinho,Destruição e ou poluição,Barragens e Açudes,Omissão/Conivência
2018,Norte,PA,Barcarena (PA),Com. Bom Futuro/Mineradora Hydro Alunorte,Mineradora internacional,Ribeirinho,Destruição e ou poluição,Barragens e Açudes,Ameaça de Morte
2018,Norte,PA,Barcarena (PA),Com. Burajuba/Codebar/Itupanema/Caripi/Hydro Alunorte,Mineradora internacional,Ribeirinho,Destruição e ou poluição,Barragens e Açudes,Ameaça de Morte
2018,Norte,PA,Barcarena (PA),Com. Burajuba/Codebar/Itupanema/Caripi/Hydro Alunorte,Mineradora internacional,Ribeirinho,Destruição e ou poluição,Barragens e Açudes,Omissão/Conivência
2018,Norte,PA,Barcarena (PA),Com. Burajuba/Codebar/Itupanema/Caripi/Hydro Alunorte,Mineradora internacional,Quilombola,Destruição e ou poluição,Barragens e Açudes,Ameaça de Morte
2018,Norte,PA,Barcarena (PA),Com. de Jardim Canaã,Mineradora internacional,Ribeirinho,Destruição e ou poluição,Barragens e Açudes,Omissão/Conivência
2018,Norte,PA,Barcarena (PA),Com. de Tauá/Hydro Alunorte,Mineradora internacional,Ribeirinho,Destruição e ou poluição,Barragens e Açudes,Impedimento do exercício profissional
2018,Norte,PA,Barcarena (PA),Com. do Murucupi/Hydro Alunorte,Mineradora internacional,Ribeirinho,Destruição e ou poluição,Barragens e Açudes,Impedimento do exercício profissional
2018,Norte,PA,Barcarena (PA),Com. Gibrié de São Lourenço/Hydro Alunorte,Mineradora internacional,Quilombola,Destruição e ou poluição,Barragens e Açudes,Omissão/Conivência
2018,Norte,PA,Barcarena (PA),Com. Jesus de Nazaré/Hydro Alunorte,Mineradora internacional,Ribeirinho,Destruição e ou poluição,Barragens e Açudes,Ameaça de Morte
